text,emotion
"UN agencies are working round the clock to support people inside #Ukraine and those who have fled to neighbouring countries.

Keep track of developments, and find out how to help, on the dedicated Ukraine Focus page.

https://t.co/TL8VhdabPY",optimism
"Stop Russia! Save Ukraine! Arrest Putin!
The world depends on our action now!

#UkraineStands #HETBOЙHE #ArrestPutin 
#StopRussia #SlavaUkraini #SaveUkraine 

@NATO @UN @POTUS @EmmanuelMacron @DefenceU @BBC @AP @KyivIndependent https://t.co/bnPiOsCNhQ",anger
"#TankMetaverse receives hundreds of appeals from #Ukraine 🇺🇦

We’re participating various fundraising campaign to support Ukrainians. You can support us at least reposting!

Stay with us! 
Full ann &amp; requisites 👉🏻 https://t.co/hcWDHZt2wZ

#nowar #SupportUkraine #HelpUkraine https://t.co/T41sfdkAxJ",optimism
I really do want to stay positive. So to end the Twitter feed for tonight: 390 babies were born in #Ukraine during these 9 days of war: 199 boys and 191 girls. #StandWithUkraine for our future https://t.co/gSWyZpzwhA,optimism
"😨 NO NO NO NO…

Currently, until the #AN225 has been inspected by experts, we cannot report on the technical condition of the aircraft.
 
Please wait for the official announcements about the condition of the aircraft

#StopRussia #Ukraine https://t.co/pEXDanePTw",sadness
"Majestic is raising funds for the Disasters Emergency Committee to help to support more than half a million people who fled their homes to escape conflict in #Ukraine. Please use the link below to donate. Thank you for your help.
https://t.co/0R2i9EDwl6 https://t.co/DBWltrxid0",sadness
"@IAPonomarenko “Prayer, charity and fasting are not medicines meant only for ourselves but for everyone: they can change history, because they are the principal ways for God to intervene in our lives and in the world. They are weapons of the spirit.” @Pontifex (📸@vindman) #Ukraine #Lent2022 https://t.co/HyIvbzUQWk",optimism
"Russia has officially declared cyber war. The invasion of Ukraine began on Feb 25, 2022, but the cyberwar on the country began August 2021.

Read our analysis about the cyber war - https://t.co/A2FfyXQMHm

#Russia #Ukraine #CyberWar #Cyberwarfare #CyberHygiene #CyberSecurity https://t.co/eNtKHWDNXp",anger
"This isn't a picture from WW1, WW2 or #UkraineWar . This is Syria ....

#UkraineRussianWar #Russian #Ukrainian #RussianUkrainianWar #RussiaUkraine https://t.co/gIxZLwSCbW",anger
"#TankMetaverse receives hundreds of appeals from #Ukraine 🇺🇦

We’re participating various fundraising campaign to support Ukrainians. You can support us at least reposting!

Stay with us! 
Full ann &amp; requisites 👉🏻 https://t.co/hcWDHZt2wZ

#nowar #SupportUkraine #HelpUkraine https://t.co/T41sfdkAxJ",optimism
"Be careful when people promise you heaven and earth that they will fight with you, fight for you, support you yen yen yen. 😌😌
#RussiaUkraine",optimism
"As ugly as things seem right now, I'm predicting within a year #Putin will either be dead, exiled in Belarus and/or charged with war crimes in The Hague...",anger
Polish border with Ukraine.  This is the best of humanity.  People driving from all over Europe to offer refugees a lift and a room.  @itvnews #ukraine https://t.co/F5OWrNLFTI,optimism
"Good luck to this man, 61 years old from 🇬🇧 going to help defend. #UkraineRussianWar #Ukraine #UkraineUnderAttaсk https://t.co/hHGxAWUccK",joy
"The main street in St Petersburg, Russia tonight.
The crowd is chanting ""No to War!"" ""Shame!"" &amp; ""Ukraine is not our enemy!"" 
#Ukriane #UkraineRussiaWar #Kyiv #Kherson #Kharkov #Kiev #Moscow #Russia https://t.co/aTQONiooBO",anger
"The true #warrior fights not because
he hates the ones in front of him, but
because he loves those behind him.
#Army #Wojsko #Armia #Wisdom 
#Ukraine #Ukraina #Rosja #Russia 
#StandWithUkriane #UnitedWithUkraine https://t.co/HOxJC2yYDP",optimism
"The latest commentary from @CeteraIM discusses the war in Ukraine's impact on global growth, energy and the Fed. Click here to read more:  #Ukraine #Russia https://t.co/9qnJ0WaBAg https://t.co/VUdjG3jeef",optimism
"As Russia intensifies its attacks, more firms are opening their pocketbooks and offering legal aid in support of #Ukraine. Here, Law360 Pulse rounds up how law firms have been responding so far. https://t.co/1GSBswwOJK",optimism
❗️Samsung suspends the supply of phones and chips to the #Russian Federation,anger
"We all have a good awareness that ""rules of war"" is an absurdity, yes? Ok, good. Now, Putin's attack is a #CrimeAgainstHumanity in and of itself. That renders *every* action taken by RU soldiers within #Ukraine borders a de facto war crime.

@ICRC has some reflecting to do. https://t.co/hGDq51ElLM",anger
When flowers get uprooted…. #Ukraine #PeaceInUkraine #peaceforukraine https://t.co/5DRWnL6yJ2,optimism
"People are volunteering to war these guys ??? 😅 lol 

#putin #Ukraine #UkraineRussianWar #Pakistan #russian #nato https://t.co/TVcCk7oIRR",joy
Claim : Russian plane shot down near #Zatoka. The pilot ejected and is being searched for. #UkraineRussianWar #Ukraine #RussianUkrainianWar #RussiaUkraine https://t.co/fZls9NZtzf,anger
"Companies that refused to work in #Russia because of the invasion of #Ukraine

Thank you for support!💙💛 https://t.co/YW2MkXZst7",joy
"The latest commentary from @CeteraIM discusses the war in Ukraine's impact on global growth, energy and the Fed. Click here to read more:  #Ukraine #Russia https://t.co/Xeso9xIEpB https://t.co/y4epQdxfyA",optimism
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",joy
"small encouraging signs: 2nd peace talks broke up but both said will be 3rd try ""v soon""

also Ukr pres advisor Arestovich says Russia dropped the ""denazification"" demand

so a little movement towards centre... 

#ukrainewar #ukraine",optimism
"#Antonov225Mriya has been destroyed...she was one of a kind.
I only saw her once a few years ago, getting a few pix between the clouds. 
Here's a tribute from @BigJetTVLIVE 

#aircraft #aviation #avgeek #ukraine 

https://t.co/zi8pjO57HH",sadness
"Pro-Putin Chechen general who led 'gay purge' killed in #Ukraine    #MagomedTushayev 
https://t.co/iyDP5e146q",anger
"A #Ukrainian soldier rescued a baby. This child is lucky, it is alive. But other 28 children were killed by #Russian troops. https://t.co/cCBaTJ7cvi",sadness
"@pttsnftpromo Support Ukraine: Buy the #NFT and Help People in #Ukraine!
https://t.co/rF9BwV6Fgk",optimism
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",joy
"Hearing from friends on the ground in Ukraine that they are desperately in need of night vision tech (binoculars or goggles) and digital radios to improve comms. If you can help please get in touch, please RT until this gets to the right people #ukraine Slava ukraini",sadness
"A large number of countries, organisations and businesses are severing ties and have imposed sanctions on #Russia over the country's invasion of #Ukraine, and with #Belarus for its support and cooperation with #Moscow https://t.co/BREXAwpw54",anger
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",joy
"#Truth for #TruePatriots.
#Putin is NOT a #Globalist. He is helping #WeTheFree 

#TWGRP https://t.co/dqUyKoGRTo",optimism
Excited to share the latest addition to my #etsy shop: Huge Seal Ring-Deer Motif #red #animals #coral #boys #artdeco #stone #hugeseal #ring #antiquering #Ukraine #UkraineRussia https://t.co/xeaHyuiduq https://t.co/Ucx4YtV6hA,joy
"The latest commentary from @CeteraIM discusses the war in Ukraine's impact on global growth, energy and the Fed. Click here to read more:  #Ukraine #Russia https://t.co/nu91CKu0gl https://t.co/wWwlaQmxnG",optimism
4/4 I am honored to stand with Archbishop Borys Gudziak in prayerful solidarity during this grave moment in history.  Please join us.  May God preserve and protect #Ukraine and her people around the world and may our Blessed Mother wrap them in her loving mantle.,optimism
The Ukraine Conflict &amp; Related Sanctions: What Is the Impact on Global Workforces? https://t.co/kdHITCaACO @Littler #BrazilUSCham #Brazil #ChamberMember #MemberNews #Ukraine,sadness
"Totally shameful reasoning by a supposedly ‘left’ MP in the context of Russian imperialist aggression against #Ukraine

@UkraineSol https://t.co/qOzBnNhrMO",anger
The Russian military are acting like terrorists holding the Zaporizhzhia nuclear power plant employees hostage. #NuclearPowerPlant #UkraineUnderAttaсk #Ukraine,anger
Daddy is staying to fight. #Ukraine. https://t.co/lOcmFdgfrc,anger
"Talking about #Russia: Russian diplomats in #Venezuela collected information about NGO’S that receive foreign funds and they also provided advice to the Venezuelan regime amidst a crusade to silence opposition groups, show an investigation by @itempnews
https://t.co/XdH7DmzewZ https://t.co/5jw6TjBvTd",anger
"ANA stands in solidarity with 
@ICNurses &amp; the #Nursesforpeace campaign and condemns the illegal invasion of #Ukraine. We have signed on to a joint statement alongside leaders of the global #nursing community calling for an immediate ceasefire. https://t.co/JeHmL0wENg https://t.co/yqAbnfHIGQ",optimism
The State Dept. has information and assistance for Americans currently in Russia #russia #StateDept https://t.co/cEp71Xe9xF https://t.co/1YEG5zvJX6,joy
"#NATO and several governments around the world have vehemently condemned what happened in Zaporizhia. https://t.co/Hrj6qhipic

#UkraineUnderAttaсk",anger
"#Russia has blocked social media, but #love isn’t something you can block. Sending love to all my #Ukrainian relatives and those in Russia experience government #oppression. I love you and my prayers are with you.
https://t.co/2g4swGaJp6
#IStandWithUkraine 💙💛",optimism
"Don't get me wrong here...
#NATO won't call out for a #NOFLYZONE exclusive to #Ukraine, when #Russia is not even part of it...
#PrayForPeace 🙏 
#Ukraine #Russia #Europe #USA https://t.co/C5c6jC8Gzi",optimism
This is #NATO's way of justice. https://t.co/15Bd6oyRln,anger
"GRAPHIC Gostomel. Another angle of the battle that took place yesterday. Many new photos/videos I’ve uploaded recently took place in this very skirmish, like the Ukrainian special forces clearing the area. #ukraine #slavaukraini #russianinvasion #putinwarcriminal #ukrainewar https://t.co/KMeqG6BnZ9",joy
"For those trying to spread the truth about #Ukriane to #russia civilians, despite media bans, note that many Russians still use IRC Chat. Just a thought.",optimism
"The centre of Bastanka, Ukraine during the fight. No one nearby survived, only the dog. He got scared because of the shooting but didn’t run away. From now on, he’ll defend Ukraine with us and we’ll defend him. ❤️🇺🇦 #StandWithUkraine #UkraineUnderAttaсk #Ukraine #FCKPTN https://t.co/8guzEa3xIU",optimism
Get more background on the #Ukraine and its tense history with Russia: https://t.co/31e8KMbCrG https://t.co/Eb8KFVMbrQ,joy
"Never again let anyone tell you the foreign occupation and bombing of a people is ""too complicated"" or ""too political"" to take a stance. 
#Ukraine https://t.co/KwxQt7CdoM",anger
"A Russian soldier holding two #grenades outside of the city hall building of #Konotop, northeastern #Ukraine. 

#Γεωεντοπισμός #Geolocation #War 

📹:51.23839595244202, 33.20730372609111 https://t.co/Csad2kRAnq",anger
"This picture right here actually summarized the ongoing war.

#UkraineRussianWar #UkraineWar https://t.co/X54Rf9X00p",anger
"A #Ukrainian soldier rescued a baby. This child is lucky, it is alive. But other 28 children were killed by #Russian troops. https://t.co/cCBaTJ7cvi",sadness
"57% Off!

Scotch Heavy Duty Packaging Tape

https://t.co/UUtePqSjYK

#BwcDeals #Dogecoin #nfts #Ukraine #clearthelist #Today https://t.co/VQsoUBQbMl",joy
"44% Off!

Ailun 2 Pack Screen Protector Compatible for iPhone 13 [6.1 inch Display]with 2 Pack Tempe

https://t.co/YMgPQsjkpI

#BwcDeals #Dogecoin #nfts #Ukraine #clearthelist #Today https://t.co/ERg76LTniR",joy
❗️Samsung suspends the supply of phones and chips to the #Russian Federation,anger
"Meanwhile in Bulgaria:

Bulgarian fascists celebrate the National Liberation Day with a neo-#nazi #Ukrainian next to #Russian, the two fascists groups currently fighting themselves 

(One of these #fascist parties are in parliament in #Bulgaria) https://t.co/XjxTczWFOG",anger
I think @Kasparov63 realizes an important point here: the price of stopping #Putin over time always goes up. Perhaps that's why #FionaHill says that we already have #WW3 on our hands — we just haven't yet realized it. https://t.co/RWedsnrALf,optimism
Polish border with Ukraine.  This is the best of humanity.  People driving from all over Europe to offer refugees a lift and a room.  @itvnews #ukraine https://t.co/F5OWrNLFTI,optimism
"These scenes of apartment buildings in #Ukraine bombed by Russia, replete with people screaming are horrific. We have witnessed scenes like this close up before in the Middle East, Afghanistan and Somalia. We must not forget all conflict zones are equally brutal for the victims.",anger
"""Hate, it has caused a lot of problems in the world, but has not solved one yet.“ #MayaAngelou #WomenHistoryMonth #StopWar #StandWithUkraine #StopRussia #Ukraine #Russia #PeaceTalk #BlackHistoryMonth #WomenHistoryMonth2022 

#BehaviorAgent #DrLisaKeliher
@ https://t.co/YEgNEA6Ua9 https://t.co/KJ5Sl04RCP",anger
Russia’s latest graduates getting 1 last workout session in before being deployed to Ukraine #Ukraine #UkraineRussiaCrisis #UkraineRussiaConflict #Russia #RussiaUkraineConflict #Kiev #Kyiv #Kharkiv #Mariupol #Odessa #Putin https://t.co/xd1i9gotIa,anger
"The latest commentary from @CeteraIM discusses the war in Ukraine's impact on global growth, energy and the Fed. Click here to read more:  #Ukraine #Russia https://t.co/eCouFdto8m https://t.co/wPO5yZcyDZ",optimism
"This is called putting money where your mouth is - and I'm all for it!!!
#StandWithUkraine #SlavaUkraini 🇺🇦🌻 https://t.co/RhaoWiLOoc",optimism
"#Ukraine #Russia #UkraineRussianWar #ДаПобеде #Z 

Support to the Armed Forces of Russia from #Tula - the city of gunsmiths! Thanks for the material to the military officers of the Russian Spring! #РусскаяВеснаZ 
🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺 https://t.co/la22yIGQQh",joy
"A #Ukrainian soldier rescued a baby. This child is lucky, it is alive. But other 28 children were killed by #Russian troops. https://t.co/cCBaTJ7cvi",sadness
"@maddiepyper Hi! You're from PFC, right? My best follows on #ukraine:
up2minute list: https://t.co/Zq4sNAOS6r
@mhmck for focused (have followed since'14) analysis&amp;.@strategywoman for a woman's voice from Kyiv
#yourart4ukraine for inspo
#StandWithUkraine️ #CloseTheSky  #NoFlyZone",joy
❗️Samsung suspends the supply of phones and chips to the #Russian Federation,anger
"🇷🇺 #Russian stocks are ""uninvestable"" following the invasion of 🇺🇦 Ukraine and will be removed from indexes at MSCI and FTSE Russell. Advisory committees, asset managers and exchanges were among those consulted by the index providers.
https://t.co/9FvMNj7BUN",anger
What are the implications of #Russia's invasion of #Ukraine for SE Asia? A short 🧵:,anger
"#Russia’s #brutal #military #campaign in #Ukraine has not been accompanied so far by the sort of #cyberwar many experts expected the invasion be accompanied by dramatic #hacks #shuttingoff #power, #jamming @glenbenjamin @LANINFOTECH #besafe #BeCyberSmart 
https://t.co/XsYK6c2lBp https://t.co/mHjlu17sUn",anger
"The latest commentary from @CeteraIM discusses the war in Ukraine's impact on global growth, energy and the Fed. Click here to read more:  #Ukraine #Russia https://t.co/wLyUjsfhba https://t.co/RCvRJhYeub",optimism
"The only “breakaway region” the world sees is the one that’s happening between Putin’s ears.

#PutinWarCriminal #UkraineRussianWar #StandWithUkraine️ https://t.co/XGtsn04QRo",anger
"“We don’t need much,” said one of the million-plus Ukrainians fleeing their homeland. “A warm corner is enough.” 

A WARM CORNER IS ENOUGH!

https://t.co/gsxE0eM0nn @NatGeo @anastasiatl @davidemonteleo @EveConant #Ukraine",optimism
"#TankMetaverse receives hundreds of appeals from #Ukraine 🇺🇦

We’re participating various fundraising campaign to support Ukrainians. You can support us at least reposting!

Stay with us! 
Full ann &amp; requisites 👉🏻 https://t.co/hcWDHZt2wZ

#nowar #SupportUkraine #HelpUkraine https://t.co/T41sfdkAxJ",optimism
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",joy
Friend just booked Airbnb apartment in Kyiv ( that clearly he will never go to ) as Airbnb have waved their commission. There are lots of different ways to help / donate but this is one more #kyiv #Ukraine https://t.co/P4v7ptsj3w,optimism
"Fuck #Putin 
Little man is scared now to have to go to this extent… https://t.co/Ui9Cgvu0gG",anger
"@erykmedykowski Support Ukraine: Buy the #NFT and Help People in #Ukraine!
https://t.co/rF9BwV6Fgk",optimism
"🧵Many in #Ukraine are calling for a no fly zone. Previously, I've viewed this as risking nuclear war. Now, I think it would make sense to use NATO troops to secure the Western half of Ukraine and establish a no-fly zone there.",anger
"#Germany
#Putin told #Scholz that #Russia is open to dialogue with everyone who wants peace in #Ukraine, but subject to: 

— neutral and non-nuclear status
— demilitarization
— denazification
— recognition of Rus Crimea
— recognition of DPR/LPR

These terms are non-negotiable.",anger
"⚡️ Bellingcat investigator Christo Grozev says that #Russia has resources left for the war until Sunday, after which they will collapse.

Also next week, Russia is facing sanctions, the scale of which “we have not seen before”, and they will also affect Putin",anger
@johncardillo We are paying for the bombs that fall on #Ukraine.,anger
"Wondering how donations to our #Ukraine appeal will be spent? 

Here are just a few examples of the many ways you could help people in need ⬇️

To donate, click here: https://t.co/YJ7OiAXFJ7 https://t.co/VDRjPYtz4T",optimism
"Let's not forget Alexei Navalny, who remains imprisoned in Russia under false charges by Putin, for being his outspoken critic &amp; the opposition leader. When many remained silent, this man risked his life &amp; he's still in danger! #freeNavalny #UkraineInvasion #Ukriane #SlavaUkraini https://t.co/mI8fUGz4ne",anger
"A #Ukrainian soldier rescued a baby. This child is lucky, it is alive. But other 28 children were killed by #Russian troops. https://t.co/cCBaTJ7cvi",sadness
"#BREAKING: #Turkish intel reports that #Russia is transferring the Wagner gang and Assad-controlled mercenaries from #Syria to #Ukraine. 

First, they are delivered to the air base in Erebuni in #Armenia. Further to Mozdok, and to Ukraine. 

Thus, in fact, Armenia enters the war!",anger
Let Russians know what happens in #Ukraine🇺🇦. Send them text message via https://t.co/L4hhAZ77xj Tear down the wall of Russian propaganda and censorship! Let them know the truth. Let them know the power of the free world! https://t.co/NjR750AI6O,anger
"Defending #Taiwan is defending #America. After the chaotic withdrawal from #Afghanistan and #Russia’s invasion of #Ukraine, Taiwan is the test of American credibility. @mikepompeo https://t.co/S0Jzji1MF0",anger
The US Embassy in #Ukraine has just deleted from its website all documents about 11 Pentagon-funded biolaboratories in Ukraine. I have published all these documents (now deleted by the Embassy) here https://t.co/Odc0ermmZe and in the thread below https://t.co/benFmDwguI,anger
"Please pray for &amp; follow Sr Augustina OSB
@osb_sister as she gives updates on the people of #Ukraine &amp; the plight of her fellow #Benedictines.

Our Lady, #QueenofPeace...
#StJoseph...
#StBenedict, patron of #Europe... pray for them.

#PrayerForUkraine #Prayer
#FollowFriday
#FF https://t.co/1hWCAuDCsL",optimism
"A #Ukrainian soldier rescued a baby. This child is lucky, it is alive. But other 28 children were killed by #Russian troops. https://t.co/cCBaTJ7cvi",sadness
@IAPonomarenko Milwaukee stands with Ukraine. I saw three Ukrainian flags on houses in my neighborhood this morning. Stay strong. #SlavaUkraini https://t.co/BArabjh14u,optimism
"Everyone at BioWare is deeply concerned about the situation unfolding in #Ukraine. Our thoughts are with our friends, fans and partners in the area, and everybody effected by these tragic events. https://t.co/pOg3hN6jEp",sadness
"#NATO refuses to implement a no fly zone over #Ukraine. 

Zelensky tells them exactly how he feels about this decision in the #UkraineRussianWar : “Every person who dies from today will die because of you.""

Do you agree with Zelensky? Does #NATO bear responsibility?
#FreshWords",anger
"Did you know that almost 90 per cent of students who clear #NEET cannot get an #MBBS seat in India? I explain the data here. Probably now we know why so many go to countries like #Ukraine to study 

https://t.co/xfVauQyHj7",sadness
"If you are prepared to fire artillery at a nuclear power plant, you are prepared to do almost anything #Zaporizhzhia #Ukraine #Russia",anger
❗️Samsung suspends the supply of phones and chips to the #Russian Federation,anger
From Czech with love and support 🇨🇿🇺🇦❤️ #Ukraine #PutinWarCrimes https://t.co/4wEB5r56bO,joy
"Sheer hypocrisy at the United Nations
No one is talking about evacuation of African and Indian Students being discriminated and brutalized in #Ukraine 
@antonioguterres silent on the sufferings of foreign students trapped in Ukraine.
All attention is instead one sided.",anger
"This is a bad decision that should be reversed. #Russia is killing civilians, including children. It is attacking nuclear facilities and threatening #nuclearwar. Pushback on every possible front is critical. Replace these Russian pianists with #Ukranians or other #Europeans. https://t.co/F5MNoHNQyY",anger
"Today, Canada and 44 @OSCE states have invoked the Moscow Mechanism to deliver a clear message to President Putin – we will hold you accountable for your unjustifiable aggression against #Ukraine.
 
Read the joint statement:
https://t.co/w1Ih2tje3z https://t.co/X2jm3nKTjQ",anger
"This the other side of war that politics dont like to be seen.a young Russian soldier left his gun and joined Ukrainian people and seems to be well hosted. An Ukrainian girl called soldier's mother so he could talk to her
#UkraineRussiaWar #Ukraine #KievUkraine #UcraniaBajoFuego https://t.co/DIgIJ0lMqJ",anger
"The Telegraph reported that #Russia is using mobile cremation ovens in #Ukraine in an attempt to hide its losses.

⚠️⛔️False!#FakeNews 

The footage is from 2013 and was released by a Russian company that builds incinerators.
#Ukraine #UkraineRussiaWar https://t.co/CNMVoTuQey",anger
Let Russians know what happens in #Ukraine🇺🇦. Send them text message via https://t.co/L4hhAZ77xj Tear down the wall of Russian propaganda and censorship! Let them know the truth. Let them know the power of the free world! https://t.co/NjR750AI6O,anger
"You can help the people of Ukraine and those most affected by the conflict. United Church Mission &amp; Service partners are responding to the rapidly unfolding crisis. Please make a gift today: https://t.co/bigkhPOvM3

#UCCan #Ukraine #PeaceinUkraine https://t.co/BTiUbzBPMg",optimism
"Once upon a time, four sons were born to Jewish Ukrainian parents. Three sons were murdered by the Nazis. One son survived.
The survivor’s grandson is now an international hero fearlessly confronting his country’s invaders.  He is Volodymyr #Zelensky, President of #Ukraine. https://t.co/j4YODcqNXO",joy
"Poland-Ukraine Border 

UK based @Khalsa_Aid continues to serve hot meals &amp; hot drinks to those who are escaping war in #Ukraine  

#UkraineRussianWar #UkraineUnderAttaсk https://t.co/ET0eCeThlS",anger
"Fretless #BassGuitar #Peace For #Ukraine - Jack Casey - March 4, 2022 https://t.co/5L1nJq0aPk via @YouTube",joy
"#NATO Foreign Ministers &amp; #Finland, #Sweden &amp; the #EU addressed #Russia's brutal invasion of #Ukraine, which the whole world condemns. We call on President Putin to stop this war immediately. He tried to divide us, but NATO is more united, more determined &amp; stronger than ever. https://t.co/c5Up9UKKNz",anger
I cannot believe what I'm seeing. #Putin's goons leveled #Kharkiv. https://t.co/0659rHB8Yr,anger
"Growing indications that #Russia faces some kind of imminent supply crisis in #Ukraine 

If this is the case we could see a dramatic escalation of attacks over the new 72 hours",anger
"@DeanSteinerNFT Support Ukraine: Buy the #NFT and Help People in #Ukraine!
https://t.co/rF9BwV6Fgk",optimism
"A large amount of mis- and disinformation has circulated on social media in multiple languages over the past few days regarding #Ukraine. Trustworthy information is as important as ever in times of crisis, so here are our top tips and tools 👇",sadness
"In #Russia, a prominent Kremlin-close political analyst suggested that the Russian military operation might finish “beyond Ukrainian borders”. 

He said #Germany “will be never forgiven for allowing weapons to be sent to #Ukraine”.

@GermanyDiplo and @NATO, are you reading this? https://t.co/3hlWs4gDud",anger
"Our hearts are with Ukraine 🇺🇦 

#ukraine #love #peace #nowar #prayers #frominhere #blog #blogger #widow #disabled #america #american #euorpe #stopthewar #peaceful #ukrainewar #stopwar #stopputin #stophate https://t.co/6L4Nzu5aMS",optimism
"🚨🚨 Nato  Sec Gen, Jens Stoltenberg thanks @BorisJohnson for leading the way and leading NATO in its initiatives to de-escalate Russia and for the assistance being provided to #Ukraine",optimism
I’m so tired of seeing American government officials giving play by play of what’s going on in #Ukraine . FUCKING DO SOMETHING ABOUT IT!!!,anger
